web-scraper-order,web-scraper-start-url,pagination1,product_name,product_price,product_rating
"1715963601-1","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG Monitor 27 inch Full HD IPS 27GL650","Rp 4.289.000","(1)"
"1715963601-2","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG 27 Inch UHD 4K IPS Monitor 27UP600","Rp 5.610.000","(2)"
"1715963601-3","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG 24 inch UltraGear Gaming Monitor 24GN650-B","Rp 3.145.000","(1)"
"1715963601-4","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","HP P24v G5 23.8 inch FHD Monitor","Rp 1.749.000","(1)"
"1715963601-5","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","HP V20 HD+ Monitor [1H849AA]","Rp 1.968.000","(1)"
"1715963601-6","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","HP Monitor P24v G4 FHD 23.8 Inch HPQ9TT78AA","Rp 3.349.000","(1)"
"1715963601-7","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG Monitor LED 22MN430 IPS hdmi fhd 75hz [22MN430M-B]","Rp 1.679.000","(1)"
"1715963601-8","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG LED Monitor 22 Inch 22MK400H-B","Rp 1.679.000","(1)"
"1715963601-9","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG 23.8 Inch UltraGear Full HD IPS 1ms (GtG) Gaming Monitor with 144Hz 24GN600-B","Rp 2.898.000","(3)"
"1715963601-10","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG 27 Inch IPS Full HD Monitor 27MP500-B","Rp 2.634.000","(1)"
"1715963601-11","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG IPS Monitor 20MK400H","Rp 1.558.000","(2)"
"1715963601-12","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG LED Monitor 18.5 Inch 19M38A","Rp 999.000","(3)"
"1715963601-13","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG Monitor 23.8 Inch Full HD IPS Display with AMD FreeSync 24MP60G-B","Rp 1.648.000","(1)"
"1715963601-14","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG UHD HDR Monitor 31.5 Inch 32UN500-W","Rp 6.791.000","(1)"
"1715963601-15","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG 21.45 inch Full HD Monitor with AMD 22MP410","Rp 1.680.000","(1)"
"1715963601-16","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG 23.8 inch Monitor IPS Full HD 24MR400-B","Rp 1.475.000","(1)"
"1715963601-17","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG UltraWide IPS LED Monitor 25 Inch 25UM58-P","Rp 2.876.000","(8)"
"1715963601-18","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG UltraGear Nano IPS Monitor 27 inch 27GN880-B","Rp 6.609.000","(0)"
"1715963601-19","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","HP P27v G4 Monitor 27 inch [9TT20AA]","Rp 3.250.000","(0)"
"1715963601-20","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG 35 Inch UltraWide QHD 35WN75C-B.ATI","Rp 9.399.000","(0)"
"1715963601-21","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG 23.8 inch Full HD IPS Monitor with AMD FreeSync 24MP400-B","Rp 2.120.000","(0)"
"1715963601-22","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG UltraWide 34WQ500-B 34 inch WFHD","Rp 5.423.000","(0)"
"1715963601-23","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG UltraFine 4K LED Monitor 32 Inch 32UN880-B","Rp 8.807.000","(0)"
"1715963601-24","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG 27 Inch Monitor Full HD 27MR400-B","Rp 1.949.000","(0)"
"1715963601-25","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","HP P204v LED Monitor 19 Inch [5RD66AA]","Rp 1.649.000","(0)"
"1715963601-26","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG 27 Inch UHD 4K IPS Monitor 27UL500-W","Rp 5.149.000","(0)"
"1715963601-27","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG Monitor 27 inch Full HD IPS 27MP400-B","Rp 2.557.000","(0)"
"1715963601-28","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG 27UK580-B 27 Inch UHD 4K IPS Monitor with Ergo Stand","Rp 5.696.000","(0)"
"1715963601-29","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG Monitor UltraWide 29 Inch 29WP60G-B","Rp 3.264.000","(0)"
"1715963601-30","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG Gaming Monitor 27 Inch 27MP60","Rp 3.305.000","(0)"
"1715963601-31","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG 27 Inch IPS 4K UHD VESA HDR400 USB-C Monitor 27UP850","Rp 7.950.000","(0)"
"1715963601-32","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG Monitor 27 Inch Full HD IPS 27GL650F-B","Rp 3.783.500","(0)"
"1715963601-33","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG UltraWide Dual QHD 49 inch Monitor 49WL95C-W","Rp 18.490.000","(0)"
"1715963601-34","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG Monitor 34 Inch UltraWide FHD 34WP500-B","Rp 4.995.000","(0)"
"1715963601-35","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","HP P22va G4 FHD Monitor [453D2AA]","Rp 2.490.000","(0)"
"1715963601-36","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG 27 inch UltraGear Nano IPS 1ms Gaming Monitor 27GP850-B","Rp 7.664.000","(0)"
"1715963601-37","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG 31.5 inch UltraGear Gaming Monitor 32GP850-B","Rp 8.094.000","(0)"
"1715963601-38","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG DualUp 28 Inch SDQHD Nano IPS Monitor 28MQ780-B","Rp 8.850.000","(0)"
"1715963601-39","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG Monitor 34 Inch UltraWide 21:9 WQHD 34WN80C-B","Rp 10.289.000","(0)"
"1715963601-40","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG Monitor 29 inch UltraWide 29WP500-B","Rp 3.050.000","(0)"
"1715963601-41","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG UltraGear 27GQ50F-B","Rp 2.675.000","(0)"
"1715963601-42","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","HP M24fwa FHD Monitor 23.8 inch [34Y23AA]","Rp 2.299.000","(0)"
